HOMERUN,DATE,BATTER FULL,BATTER LAST,BATTER FIRST,BATTER TEAM,PITCHER FULL,PITCHER LAST,PITCHER FIRST,PITCHER TEAM,INNNING,DISTANCE,ANGLE,OUTS,BALLS,STRIKES,FIRST,SECOND,THIRD,TEMP,DAY/NIGHT,PHILS W/L,PHILLIES SCORE,VISITORS SCORE,RUNS SCORED,ZONE,PX,PZ,STANCE
152,08/26/2008,Jimmy Rollins,Rollins,Jimmy,Phillies,Pedro Martinez,Martinez,Pedro,Mets,5,372,59.8,0,2,1,0,1,0,78,Night,Win,1,7,2,4,-0.412,2.727,Left
153,08/26/2008,Ryan Howard,Howard,Ryan,Phillies,Pedro Martinez,Martinez,Pedro,Mets,5,374,115.8,1,0,0,1,0,0,78,Night,Win,3,7,2,13,-0.765,2.479,Left
154,08/27/2008,Ryan Howard,Howard,Ryan,Phillies,Johan Santana,Santana,Johan,Mets,1,372,116.9,2,2,2,0,1,0,76,Night,Loss,0,1,2,11,-0.727,2.952,Left
155,08/27/2008,Jayson Werth,Werth,Jayson,Phillies,Johan Santana,Santana,Johan,Mets,2,387,109.3,0,1,2,0,0,0,76,Night,Loss,2,1,1,4,-0.593,2.991,Right
156,08/27/2008,Carlos Delgado,Delgado,Carlos,Mets,Kyle Kendrick,Kendrick,Kyle,Phillies,6,373,70.6,0,2,2,0,0,0,76,Night,Loss,3,1,1,14,0.741,1.669,Left
157,08/27/2008,Carlos Delgado,Delgado,Carlos,Mets,Rudy Seanez,Seanez,Rudy,Phillies,8,347,119.2,2,1,0,0,0,0,76,Night,Loss,3,2,1,7,-0.666,2.146,Left
158,09/08/2008,Mike Jacobs,Jacobs,Mike,Marlins,Joe Blanton,Blanton,Joe,Phillies,3,391,76.5,2,2,1,1,0,0,79,Night,Win,5,2,2,14,1.072,1.838,Left
159,09/08/2008,Jayson Werth,Werth,Jayson,Phillies,Joe Nelson,Nelson,Joe,Marlins,7,418,89.2,2,0,0,1,0,1,79,Night,Win,5,4,3,5,0.056,2.924,Right
160,09/08/2008,Cody Ross,Ross,Cody,Marlins,J.C. Romero,Romero,J.C.,Phillies,8,372,112.3,1,1,1,1,0,0,79,Night,Win,8,4,2,5,0.077,2.914,Right
161,09/09/2008,Jorge Cantu,Cantu,Jorge,Marlins,Kyle Kendrick,Kendrick,Kyle,Phillies,2,396,110,1,1,1,1,1,0,73,Night,Loss,1,4,3,8,-0.023,2.305,Right
162,09/09/2008,Mike Jacobs,Jacobs,Mike,Marlins,J.A. Happ,Happ,J.A.,Phillies,4,414,85.9,1,1,1,1,0,0,73,Night,Loss,1,7,2,4,-0.397,2.77,Left
163,09/09/2008,Ryan Howard,Howard,Ryan,Phillies,La De,De,La,Marlins,4,423,86.7,0,0,0,1,0,0,73,Night,Loss,1,9,2,4,-0.471,2.9,Left
164,09/09/2008,Cody Ross,Ross,Cody,Marlins,J.A. Happ,Happ,J.A.,Phillies,5,417,85.3,0,1,1,0,0,0,73,Night,Loss,4,9,1,5,-0.045,2.714,Right
165,09/10/2008,Ryan Howard,Howard,Ryan,Phillies,Ricky Nolasco,Nolasco,Ricky,Marlins,2,422,67.5,0,1,1,0,0,0,76,Day,Loss,0,0,1,3,0.42,3.511,Left
166,09/10/2008,Luis Gonzalez,Gonzalez,Luis,Marlins,Brett Myers,Myers,Brett,Phillies,3,389,61.8,1,0,0,1,0,0,76,Day,Loss,1,0,2,4,-0.601,2.546,Left
167,09/11/2008,Ryan Howard,Howard,Ryan,Phillies,Ben Sheets,Sheets,Ben,Brewers,1,422,90.3,2,0,0,0,1,0,69,Night,Win,0,0,2,2,0.24,3.25,Left
168,09/11/2008,J.J. Hardy,Hardy,J.J.,Brewers,Jamie Moyer,Moyer,Jamie,Phillies,3,354,117.9,2,2,2,0,0,0,69,Night,Win,2,0,1,4,-0.331,2.842,Right
169,09/11/2008,Prince Fielder,Fielder,Prince,Brewers,Jamie Moyer,Moyer,Jamie,Phillies,6,422,86.5,2,0,0,0,0,1,69,Night,Win,4,1,2,5,0.025,2.649,Left
170,09/13/2008,Jimmy Rollins,Rollins,Jimmy,Phillies,Carlos Villanueva,Villanueva,Carlos,Brewers,6,366,59,2,3,2,0,1,0,84,Day,Win,5,2,2,6,0.254,3.055,Left
171,09/13/2008,Ryan Braun,Braun,Ryan,Brewers,Chad Durbin,Durbin,Chad,Phillies,8,403,98.5,0,1,2,0,0,0,84,Day,Win,7,2,1,4,-0.572,3.101,Right
172,09/14/2008,Ray Durham,Durham,Ray,Brewers,Joe Blanton,Blanton,Joe,Phillies,1,405,81.3,1,2,2,0,0,1,89,Day,Win,0,0,2,2,0.07,3.16,Left
173,09/14/2008,Pat Burrell,Burrell,Pat,Phillies,Jeff Suppan,Suppan,Jeff,Brewers,4,422,119.2,0,1,1,0,0,0,85,Night,Win,4,0,1,13,-0.997,2.587,Right
174,09/14/2008,Mike Cameron,Cameron,Mike,Brewers,Joe Blanton,Blanton,Joe,Phillies,5,409,114.7,0,0,0,0,0,0,89,Day,Win,1,2,1,5,-0.175,2.651,Right
175,09/14/2008,Ryan Howard,Howard,Ryan,Phillies,Dave Bush,Bush,Dave,Brewers,6,359,110,0,1,1,1,0,0,89,Day,Win,1,3,2,7,-0.558,2.067,Left
176,09/14/2008,Prince Fielder,Fielder,Prince,Brewers,Brett Myers,Myers,Brett,Phillies,7,382,73.8,2,3,2,0,0,0,85,Night,Win,6,0,1,6,0.419,2.502,Left
177,09/14/2008,Shane Victorino,Victorino,Shane,Phillies,Brian Shouse,Shouse,Brian,Brewers,8,391,101.3,1,1,0,1,1,0,89,Day,Win,4,3,3,7,-0.416,1.949,Right
178,09/22/2008,Kelly Johnson,Johnson,Kelly,Braves,J.A. Happ,Happ,J.A.,Phillies,6,382,64.7,1,0,1,1,0,0,71,Night,Win,2,0,2,4,-0.595,2.797,Left
179,09/22/2008,Pat Burrell,Burrell,Pat,Phillies,Julian Tavarez,Tavarez,Julian,Braves,8,395,110.2,2,3,1,1,1,0,71,Night,Win,3,1,3,3,0.328,3.468,Right
180,09/23/2008,Casey Kotchman,Kotchman,Casey,Braves,Cole Hamels,Hamels,Cole,Phillies,6,377,75.4,2,0,0,0,0,0,66,Night,Loss,1,2,1,8,-0.164,2.325,Left
181,09/24/2008,Chase Utley,Utley,Chase,Phillies,Jo-Jo Reyes,Reyes,Jo-Jo,Braves,3,381,73.6,2,0,1,0,0,0,65,Night,Loss,1,3,1,2,0.113,3.362,Left
182,09/24/2008,Ryan Howard,Howard,Ryan,Phillies,Jo-Jo Reyes,Reyes,Jo-Jo,Braves,4,431,93.4,0,2,0,0,0,0,65,Night,Loss,2,3,1,5,0.077,3.352,Left
183,09/24/2008,Chipper Jones,Jones,Chipper,Braves,Scott Eyre,Eyre,Scott,Phillies,5,384,116.6,2,2,1,1,1,0,65,Night,Loss,3,6,3,13,-0.903,2.518,Left
184,09/26/2008,Ryan Howard,Howard,Ryan,Phillies,Collin Balester,Balester,Collin,Nationals,1,424,85.4,1,0,1,1,0,1,67,Night,Win,0,0,3,9,0.549,2.424,Left
185,09/26/2008,Kory Casto,Casto,Kory,Nationals,Joe Blanton,Blanton,Joe,Phillies,6,382,73.8,2,1,0,0,0,0,67,Night,Win,7,3,1,5,0.019,2.764,Left
186,09/27/2008,Jayson Werth,Werth,Jayson,Phillies,John Lannan,Lannan,John,Nationals,5,344,65.7,0,1,2,0,0,0,74,Day,Win,2,1,1,2,0.189,4.108,Right
